Agency	General Type	Granular Type	Latitude	Longitude	County	"June 30, 2016 Accrued Liability (AL)"	"June 30, 2016 Market Value of Assets (MVA)"	"June 30, 2016 Unfunded Accrued Liability (UAL)"	2017-18 Estimated Total Employer Contribution	2018-19 Estimated Total Employer Contribution	2019-20 Estimated Total Employer Contribution	2020-21 Estimated Total Employer Contribution	2021-22 Estimated Total Employer Contribution	2022-23 Estimated Total Employer Contribution	2023-24 Estimated Total Employer Contribution	2024-25 Estimated Total Employer Contribution
"SAN DIEGO TROLLEY, INC."			0	0	0	"13,09,61,573"	"10,11,64,575"	"2,97,96,998"	"33,31,718"	"37,53,276"	"43,79,545"	"51,08,950"	"56,60,618"	"61,41,527"	"65,07,743"	"68,28,335"
RANCHO CUCAMONGA FIRE PROTECTION DISTRICT	SPECIAL DISTRICT/AUTHORITY	FIRE PROTECTTION DISTRICT	0	0	0	"12,93,27,735"	"9,36,44,091"	"3,56,83,644"	"39,66,040"	"45,80,150"	"52,62,381"	"59,69,352"	"65,34,052"	"70,39,769"	"74,17,207"	"77,52,632"
CITY OF PACIFIC GROVE	CITY		36.6177374	-121.9166215	MONTEREY COUNTY	"12,81,40,730"	"9,02,17,396"	"3,79,23,334"	"24,06,536"	"28,19,766"	"33,69,304"	"38,07,976"	"42,92,150"	"46,93,830"	"49,89,039"	"52,44,598"
CITY OF SOUTH PASADENA	CITY		34.1161196	-118.1503488	LOS ANGELES COUNTY	"12,64,20,949"	"9,12,88,712"	"3,51,32,237"	"32,09,784"	"37,69,120"	"43,73,397"	"49,33,868"	"51,72,916"	"56,24,681"	"59,51,916"	"62,39,272"
CITY OF SEAL BEACH	CITY		33.7414085	-118.1047682	ORANGE COUNTY	"12,59,87,511"	"9,08,75,191"	"3,51,12,320"	"32,51,421"	"36,37,947"	"41,94,890"	"47,20,305"	"52,06,953"	"56,38,357"	"59,54,395"	"62,29,968"
OAKLAND CITY HOUSING AUTHORITY	SPECIAL DISTRICT/AUTHORITY		0	0	ALAMEDA COUNTY	"12,50,01,634"	"11,53,48,406"	"96,53,228"	"26,83,560"	"28,45,798"	"32,42,080"	"38,80,953"	"43,02,481"	"47,47,847"	"50,48,638"	"53,09,140"
CITY OF BELL GARDENS	CITY		33.9652918	-118.1514588	LOS ANGELES COUNTY	"12,43,74,783"	"8,60,84,888"	"3,82,89,895"	"45,72,256"	"51,43,185"	"57,69,342"	"50,92,961"	"56,01,470"	"60,55,173"	"63,93,133"	"66,92,115"
SAN MIGUEL CONSOLIDATED FIRE PROTECTION DISTRICT	SPECIAL DISTRICT/AUTHORITY	FIRE PROTECTTION DISTRICT	0	0	0	"12,43,14,003"	"8,90,98,817"	"3,52,15,186"	"19,73,147"	"24,59,547"	"29,84,605"	"33,39,953"	"37,85,510"	"41,26,140"	"43,02,865"	"44,25,628"
HELIX WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	32.762677	-117.0291	0	"12,41,40,194"	"8,16,23,290"	"4,25,16,904"	"30,77,362"	"35,40,264"	"41,41,148"	"46,85,439"	"51,86,382"	"56,30,614"	"59,48,172"	"62,29,097"
CITY OF PASO ROBLES	CITY		35.6368759	-120.6545022	SAN LUIS OBISPO COUNTY	"12,25,35,145"	"7,99,53,503"	"4,25,81,642"	"42,89,132"	"46,28,299"	"52,05,126"	"57,77,069"	"62,88,574"	"67,42,530"	"67,53,502"	"70,59,656"
NEVADA IRRIGATION DISTRICT	SPECIAL DISTRICT/AUTHORITY	IRRIGATION DISTRICT	0	0	0	"12,22,63,483"	"7,44,62,131"	"4,78,01,352"	"38,11,306"	"44,08,188"	"50,16,986"	"55,81,240"	"60,84,107"	"65,42,380"	"68,80,102"	"71,83,315"
CITY OF MURRIETA	CITY		33.5539143	-117.2139232	RIVERSIDE COUNTY	"12,19,56,895"	"9,00,60,573"	"3,18,96,322"	"49,20,244"	"54,64,342"	"61,59,981"	"69,80,056"	"75,59,347"	"80,85,405"	"84,72,482"	"84,38,997"
OTAY WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	0	0	0	"12,18,22,132"	"7,36,78,504"	"4,81,43,628"	"46,38,806"	"50,95,320"	"56,63,229"	"61,98,832"	"66,95,847"	"71,58,512"	"65,69,877"	"68,67,994"
CITY OF LOS ALTOS	CITY		37.3852183	-122.1141298	SANTA CLARA COUNTY	"12,09,10,458"	"8,61,19,907"	"3,47,90,551"	"32,90,189"	"37,43,250"	"43,18,499"	"48,78,855"	"53,76,743"	"58,20,699"	"61,46,780"	"64,34,843"
CITY OF LAKEWOOD	CITY		33.8536269	-118.1339563	LOS ANGELES COUNTY	"12,08,65,045"	"9,24,86,862"	"2,83,78,183"	"27,22,627"	"30,58,519"	"35,75,309"	"40,38,181"	"44,88,207"	"49,10,613"	"51,99,441"	"54,51,735"
CITY OF CUPERTINO	CITY		37.3229978	-122.0321823	SANTA CLARA COUNTY	"11,84,89,119"	"7,79,19,876"	"4,05,69,243"	"39,80,364"	"44,47,555"	"50,07,370"	"56,20,086"	"61,26,168"	"65,80,083"	"69,22,886"	"72,31,632"
ORANGE COUNTY HEALTH AUTHORITY	SPECIAL DISTRICT/AUTHORITY		0	0	ORANGE COUNTY	"11,80,14,125"	"9,68,30,795"	"2,11,83,330"	"64,56,951"	"79,48,995"	"88,99,384"	"1,03,93,711"	"1,12,66,442"	"1,20,78,055"	"1,26,92,787"	"1,32,50,880"
PLACER COUNTY WATER AGENCY	SPECIAL DISTRICT/AUTHORITY		0	0	PLACER COUNTY	"11,80,03,691"	"7,46,47,727"	"4,33,55,964"	"39,91,928"	"45,49,053"	"51,56,820"	"57,74,038"	"62,70,259"	"67,27,527"	"70,73,902"	"73,85,449"
SOUTHERN CALIFORNIA ASSOCIATION OF GOVERNMENTS	ASSOCIATION OF GOVERNMENTS		0	0	0	"11,79,61,929"	"7,71,41,495"	"4,08,20,434"	"30,99,376"	"35,97,002"	"42,28,345"	"48,08,110"	"53,27,394"	"57,80,095"	"60,83,258"	"63,54,926"
CITY OF PALM DESERT	CITY		33.7222445	-116.3744556	RIVERSIDE COUNTY	"11,78,94,725"	"7,81,02,913"	"3,97,91,812"	"42,19,764"	"42,25,204"	"47,81,020"	"51,82,403"	"55,64,105"	"53,63,268"	"56,71,936"	"59,43,154"
SAN FRANCISCO CITY AND COUNTY HOUSING AUTHORITY	SPECIAL DISTRICT/AUTHORITY		0	0	SAN FRANCISCO COUNTY	"11,78,61,902"	"9,65,19,710"	"2,13,42,192"	"22,16,397"	"24,21,717"	"28,49,548"	"32,13,539"	"35,96,605"	"39,38,873"	"41,88,380"	"44,03,161"
CITY OF SAN CARLOS	CITY		37.5071591	-122.2605222	SAN MATEO COUNTY	"11,72,07,475"	"7,68,28,266"	"4,03,79,209"	"32,79,862"	"37,83,565"	"42,98,857"	"47,45,481"	"52,10,361"	"56,23,308"	"51,53,947"	"54,06,506"
CITY OF BELMONT	CITY		37.5202145	-122.2758008	SAN MATEO COUNTY	"11,52,87,914"	"7,99,63,902"	"3,53,24,012"	"35,18,313"	"40,04,973"	"45,56,465"	"50,95,283"	"55,79,864"	"60,10,837"	"57,67,552"	"60,39,362"
CITY OF BANNING	CITY		33.9255713	-116.8764103	RIVERSIDE COUNTY	"11,51,67,369"	"7,61,32,872"	"3,90,34,497"	"34,27,218"	"39,71,105"	"44,97,004"	"49,74,430"	"54,15,276"	"53,35,299"	"56,28,098"	"58,91,736"
CITY OF SAN FERNANDO	CITY		34.2819461	-118.4389719	LOS ANGELES COUNTY	"11,33,73,637"	"7,47,76,758"	"3,85,96,879"	"33,51,119"	"37,48,048"	"42,64,814"	"47,55,312"	"52,16,569"	"56,28,468"	"59,31,952"	"62,07,366"
RANCHO CALIFORNIA WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	0	0	0	"11,28,52,273"	"7,89,95,134"	"3,38,57,139"	"33,23,072"	"36,27,969"	"41,27,919"	"45,95,139"	"50,18,783"	"54,04,037"	"57,05,948"	"59,72,567"
CITY OF LYNWOOD	CITY		33.930293	-118.2114603	LOS ANGELES COUNTY	"11,19,56,788"	"7,67,83,814"	"3,51,72,974"	"32,44,045"	"37,02,471"	"41,18,857"	"45,02,631"	"48,65,800"	"52,18,874"	"48,21,881"	"50,40,847"
SWEETWATER AUTHORITY	SPECIAL DISTRICT/AUTHORITY		0	0	0	"11,08,36,359"	"6,82,10,316"	"4,26,26,043"	"35,68,874"	"39,81,218"	"45,16,653"	"50,32,002"	"55,10,522"	"59,37,288"	"62,49,337"	"60,52,707"
CITY OF HEALDSBURG	CITY		38.6104658	-122.8691609	SONOMA COUNTY	"10,97,28,343"	"7,73,88,502"	"3,23,39,841"	"28,32,819"	"32,84,127"	"38,02,897"	"42,79,503"	"47,27,472"	"51,25,555"	"54,17,698"	"56,73,947"
CITY OF BARSTOW	CITY		34.8957957	-117.0172826	SAN BERNARDINO COUNTY	"10,95,28,295"	"8,53,77,763"	"2,41,50,532"	"25,72,637"	"29,73,943"	"34,01,327"	"39,17,513"	"43,70,458"	"47,65,033"	"50,45,689"	"52,92,480"
PADRE DAM MUNICIPAL WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	0	0	0	"10,82,08,859"	"6,69,67,880"	"4,12,40,979"	"32,08,188"	"36,67,903"	"41,66,006"	"46,45,326"	"50,72,926"	"54,54,744"	"57,49,816"	"60,12,180"
CITY OF EMERYVILLE	CITY		37.831316	-122.2852473	ALAMEDA COUNTY	"10,74,55,449"	"7,65,13,199"	"3,09,42,250"	"23,76,358"	"29,85,034"	"35,08,018"	"39,26,692"	"43,44,583"	"46,92,498"	"49,19,072"	"51,05,439"
CITY OF TEMECULA	CITY		33.4936391	-117.1483648	RIVERSIDE COUNTY	"10,62,72,494"	"6,81,69,474"	"3,81,03,020"	"37,09,648"	"40,40,917"	"45,95,426"	"52,21,089"	"57,22,162"	"61,72,007"	"65,02,677"	"65,56,227"
CITY OF BELL	CITY		33.9775142	-118.1870156	LOS ANGELES COUNTY	"10,60,04,027"	"7,14,87,068"	"3,45,16,959"	"27,72,814"	"31,51,395"	"36,30,263"	"40,46,620"	"44,69,955"	"48,42,040"	"51,16,909"	"53,59,592"
CITY OF SAN MARINO	CITY		34.121397	-118.1064585	LOS ANGELES COUNTY	"10,59,49,459"	"7,71,87,316"	"2,87,62,143"	"26,30,759"	"30,32,434"	"35,43,531"	"40,23,304"	"44,59,747"	"48,43,555"	"51,17,673"	"53,62,052"
CITY OF HOLLISTER	CITY		36.8524545	-121.4016021	SAN BENITO COUNTY	"10,57,52,035"	"7,29,71,137"	"3,27,80,898"	"32,07,319"	"34,27,123"	"39,26,251"	"44,35,390"	"48,71,231"	"52,63,947"	"55,52,241"	"58,10,996"
CITY OF CAMARILLO	CITY		34.2163937	-119.0376023	VENTURA COUNTY	"10,37,00,121"	"7,18,54,739"	"3,18,45,382"	"28,75,276"	"31,73,667"	"35,77,726"	"39,60,825"	"43,42,470"	"47,01,334"	"49,65,454"	"51,97,868"
"CENTRAL VALLEY REGIONAL CENTER, INC."			40.1998777	-122.2011075	0	"10,35,32,311"	"9,65,11,444"	"70,20,867"	"16,64,210"	"19,54,009"	"22,84,587"	"28,47,114"	"32,04,637"	"35,81,216"	"38,37,913"	"40,56,790"
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
