Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
ASSOCIATED STUDENTS CALIFORNIA STATE UNIVERSITY SAN BERNARDINO,,,34.1821786,-117.3235324,0,"8,83,789","6,80,108","2,03,681","29,038","32,928","37,804","32,750","36,313","39,892","42,489","44,104",,"37,804","31,750","34,468","35,272",,"37,804","33,750","40,313","46,892"
ASSOCIATED STUDENTS INCORPORATED OF CALIFORNIA STATE UNIVERSITY EAST BAY,,,37.6563446,-122.0566765,ALAMEDA COUNTY,"41,22,286","27,04,469","14,17,817","1,04,467","1,22,121","1,38,992","1,53,388","1,68,582","1,82,812","1,93,083","2,02,390",,"1,38,992","1,48,937","1,56,683","1,59,185",,"1,38,992","1,57,412","1,82,657","2,09,952"
ASSOCIATED STUDENTS INCORPORATED OF CALIFORNIA STATE UNIVERSITY STANISLAUS,,,37.5245713,-120.8568887,0,"3,53,041","2,75,427","77,614","21,359","26,981","29,674","33,216","35,440","37,497","38,928","38,764",,"29,674","32,786","35,211","37,398",,"29,674","33,746","36,830","40,167"
"ASSOCIATED STUDENTS OF CALIFORNIA STATE UNIVERSITY, CHICO",,,39.729575,-121.8473287,0,"1,07,03,596","86,56,936","20,46,660","6,03,290","6,47,112","6,79,080","7,59,521","8,03,043","8,52,807","5,60,733","5,87,432",,"6,79,080","7,46,121","4,44,505","4,82,432",,"6,79,080","7,73,921","8,45,343","9,39,207"
ASSOCIATION OF BAY AREA GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,37.788012,-122.391521,ALAMEDA COUNTY,"4,64,60,627","3,09,71,602","1,54,89,025","18,69,718","19,86,779","22,01,887","24,18,284","26,20,437","19,34,477","20,50,222","21,51,588",,"22,01,887","23,69,584","24,96,188","16,91,462",,"22,01,887","24,70,084","27,75,337","22,45,477"
ASSOCIATION OF CALIFORNIA WATER AGENCIES,ASSOCIATION OF GOVERNMENTS,,38.579101,-121.494852,0,"2,58,65,605","1,77,18,173","81,47,432","8,48,785","9,67,844","10,90,317","12,14,778","13,24,874","14,25,286","15,00,927","15,68,711",,"10,90,317","11,87,478","12,63,329","12,97,278",,"10,90,317","12,45,078","14,13,674","16,02,886"
ASSOCIATION OF CALIFORNIA WATER AGENCIES - JOINT POWERS INSURANCE AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,33.8455142,-118.0461664,0,"2,35,46,382","2,13,50,396","21,95,986","3,89,333","4,51,518","4,87,921","5,63,753","6,10,314","6,58,292","7,09,197","7,51,244",,"4,87,921","5,30,353","5,05,571","5,45,105",,"4,87,921","5,99,253","7,16,714","8,72,092"
ASSOCIATION OF MONTEREY BAY AREA GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,36.5728619,-121.8048924,0,"68,54,573","48,59,914","19,94,659","2,49,881","2,77,059","3,08,104","3,44,942","3,74,994","4,03,192","4,23,561","3,78,036",,"3,08,104","3,36,902","3,60,445","3,72,123",,"3,08,104","3,52,982","3,99,124","4,51,462"
ATASCADERO CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,35.495897,-120.65679,0,"13,28,421","10,04,289","3,24,132","30,345","35,888","41,650","47,865","53,431","58,014","61,614","65,233",,"41,650","46,865","49,756","50,743",,"41,650","49,865","58,431","68,014"
AUBURN AREA RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,38.8895547,-121.0790073,0,"45,28,023","35,83,381","9,44,642","1,67,705","2,02,582","2,29,078","2,61,515","2,83,574","3,03,809","3,19,116","3,33,401",,"2,29,078","2,55,445","2,76,764","2,90,297",,"2,29,078","2,66,595","3,00,774","3,39,309"
