Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
BEAR MOUNTAIN RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,35.2615348,-118.9197469,0,"11,79,402","11,16,471","62,931","12,099","18,534","20,161","23,591","25,710","27,944","29,894","32,461",,"20,161","21,791","19,024","20,845",,"20,161","25,391","30,810","39,344"
BEAR VALLEY COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,35.1590426,-118.645726,0,"1,51,40,791","1,11,92,855","39,47,936","3,47,714","4,39,624","5,10,647","5,81,100","6,44,702","6,99,841","7,39,425","7,75,959",,"5,10,647","5,62,800","6,02,005","6,14,257",,"5,10,647","5,99,400","6,99,802","8,10,941"
BEAUMONT DISTRICT LIBRARY,SPECIAL DISTRICT/AUTHORITY,,33.9320774,-116.9812044,0,"27,71,608","19,53,015","8,18,593","99,622","99,359","1,12,836","1,27,508","1,39,607","1,50,763","1,57,778","1,64,973",,"1,12,836","1,24,508","1,33,997","1,38,518",,"1,12,836","1,31,608","1,49,707","1,69,963"
BEAUMONT-CHERRY VALLEY RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,33.9473636,-116.973433,0,"26,96,004","20,16,067","6,79,937","91,950","1,10,424","1,20,762","1,36,953","1,48,505","1,60,236","1,66,308","1,74,034",,"1,20,762","1,33,813","1,43,358","1,46,788",,"1,20,762","1,40,013","1,58,865","1,79,846"
BEAUMONT-CHERRY VALLEY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.9288527,-116.9753628,0,"88,53,983","67,90,591","20,63,392","3,42,693","3,91,309","4,41,596","5,01,574","5,43,843","5,82,510","6,08,385","6,34,478",,"4,41,596","4,91,374","5,28,671","5,48,237",,"4,41,596","5,12,674","5,77,243","6,50,310"
BELLA VISTA WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,40.6183378,-122.2973805,0,"89,37,129","69,77,057","19,60,072","1,98,212","2,42,990","2,86,701","3,30,953","3,69,339","4,01,878","4,23,175","4,43,933",,"2,86,701","3,20,853","3,46,204","3,53,146",,"2,86,701","3,43,053","4,03,539","4,72,278"
BELMONT FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,37.5181165,-122.2766235,0,"46,85,240","41,86,779","4,98,461","4,83,162","5,59,013","6,01,241","6,71,935","7,00,077","7,29,401","7,59,824","7,88,333",,"6,01,241","6,64,805","7,15,022","7,24,270",,"6,01,241","6,78,155","7,20,537","7,70,301"
BELMONT-SAN CARLOS FIRE DEPARTMENT,,,37.504369,-122.2625632,0,"9,49,56,558","6,27,73,664","3,21,82,894","33,52,930","37,31,237","22,47,000","25,13,000","28,37,000","30,84,000","32,13,000","33,00,000",,"22,47,000","23,76,000","24,18,000","22,48,000",,"22,47,000","26,56,000","32,57,000","39,08,000"
BELVEDERE-TIBURON LIBRARY AGENCY,SPECIAL DISTRICT/AUTHORITY,,37.8770863,-122.4614538,0,"45,39,426","35,05,257","10,34,169","1,40,748","1,63,644","1,87,834","2,15,786","2,37,023","2,55,329","2,68,769","2,81,336",,"1,87,834","2,10,736","2,27,527","2,37,293",,"1,87,834","2,21,836","2,54,163","2,90,629"
BENICIA CITY HOUSING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,38.0566131,-122.1520217,0,"37,75,867","28,81,258","8,94,609","93,725","1,19,537","1,37,686","1,30,246","1,44,041","1,57,992","1,67,002","1,75,072",,"1,37,686","1,25,046","1,33,827","1,36,792",,"1,37,686","1,35,546","1,58,271","1,87,212"
BENNETT VALLEY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.3979573,-122.6264294,0,"10,64,431","8,28,735","2,35,696","37,689","47,000","52,610","60,060","65,299","69,572","71,910","75,235",,"52,610","58,060","62,938","64,873",,"52,610","61,060","69,399","77,772"
BERKELEY HOUSING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,37.8711982,-122.2721001,ALAMEDA COUNTY,"33,84,486","24,34,119","9,50,367","1,94,799","2,28,821","2,53,376","2,82,570","3,01,639","3,19,095","3,32,534","3,33,122",,"2,53,376","2,79,560","3,01,676","3,16,482",,"2,53,376","2,87,590","3,13,739","3,43,185"
BETA HEALTHCARE GROUP RISK MANAGEMENT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,37.846085,-122.0300459,CONTRA COSTA COUNTY,"2,30,43,346","1,82,32,623","48,10,723","6,66,358","7,77,736","8,97,791","10,35,559","11,39,352","12,30,220","12,98,082","13,59,054",,"8,97,791","10,06,059","10,88,795","11,29,353",,"8,97,791","10,65,159","12,29,952","14,12,720"
BIG BEAR AREA REGIONAL WASTEWATER AGENCY,SPECIAL DISTRICT/AUTHORITY,,34.2656286,-116.8149626,0,"86,56,512","67,78,855","18,77,657","2,08,398","2,29,758","2,72,305","3,13,308","3,49,213","3,80,456","4,02,800","4,22,281",,"2,72,305","3,03,288","3,26,130","3,31,805",,"2,72,305","3,24,328","3,83,283","4,48,606"
BIG BEAR CITY AIRPORT DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.2617204,-116.8536527,0,"28,61,298","23,87,414","4,73,884","55,952","65,733","75,369","88,606","1,01,192","1,10,833","1,16,820","1,22,515",,"75,369","86,366","90,868","58,477",,"75,369","92,666","1,12,362","1,35,203"
BIG BEAR CITY COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.2614241,-116.8441911,0,"5,24,35,726","3,76,14,251","1,48,21,475","13,83,806","15,25,126","17,67,650","19,97,392","22,08,939","23,95,761","25,33,031","26,53,871",,"17,67,650","19,38,382","20,67,130","21,07,861",,"17,67,650","20,59,312","23,92,839","27,67,561"
BIG BEAR MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.2427383,-116.9179775,0,"44,66,562","34,07,406","10,59,156","92,179","1,08,118","1,28,024","1,46,717","1,64,788","1,80,856","1,92,003","2,01,180",,"1,28,024","1,41,687","1,51,020","1,53,188",,"1,28,024","1,52,747","1,81,878","2,15,046"
BIGHORN-DESERT VIEW WATER AGENCY,SPECIAL DISTRICT/AUTHORITY,,34.2419405,-116.4549261,0,"23,76,119","17,42,357","6,33,762","88,549","97,943","1,09,862","1,24,797","1,33,037","1,43,138","1,50,302","1,56,531",,"1,09,862","1,20,827","1,29,016","1,33,413",,"1,09,862","1,25,041","1,42,137","1,60,318"
BLACK GOLD COOPERATIVE LIBRARY SYSTEM,,,ZERO_RESULTS,ZERO_RESULTS,0,"31,19,269","23,28,447","7,90,822","72,886","84,741","99,007","1,12,066","1,24,578","1,35,132","1,43,743","1,50,400",,"99,007","1,09,427","1,15,108","1,17,908",,"99,007","1,16,078","1,35,608","1,59,202"
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,LIBRARY DISTRICT,34.3537772,-119.0641204,0,"16,51,146","11,03,346","5,47,800","58,744","65,546","75,062","65,634","72,673","78,135","82,119","86,026",,"75,062","63,584","68,732","68,899",,"75,062","67,734","77,873","89,635"
BLUE LAKE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,40.882939,-123.990993,0,"2,44,640","1,85,003","59,637","19,199","20,712","22,903","25,849","27,439","26,746","27,971","29,015",,"22,903","25,549","27,642","27,220",,"22,903","26,149","28,339","28,546"
BODEGA BAY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.3236432,-123.0365111,0,"52,36,490","38,65,796","13,70,694","2,50,603","1,75,114","2,01,453","2,30,781","2,52,022","2,73,139","2,85,478","2,98,440",,"2,01,453","2,24,371","2,40,775","2,43,137",,"2,01,453","2,37,091","2,71,134","3,10,351"
BOLINAS COMMUNITY PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.8990815,-122.7043193,0,"25,48,720","19,28,390","6,20,330","59,733","78,738","90,463","86,712","96,944","1,05,218","1,12,521","1,17,871",,"90,463","85,272","89,345","91,313",,"90,463","89,720","1,05,972","1,25,268"
BOLINAS FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,37.9107779,-122.6974475,0,"9,53,895","7,13,750","2,40,145","49,757","28,031","32,198","35,872","39,477","43,101","45,751","48,408",,"32,198","34,872","37,358","37,854",,"32,198","36,872","43,477","50,101"
BONITA-SUNNYSIDE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,32.665544,-117.0232361,0,"1,84,36,898","1,30,32,505","54,04,393","4,92,123","5,81,491","6,70,135","7,55,682","8,29,928","8,96,358","9,45,780","9,88,402",,"6,70,135","7,35,482","7,82,197","7,97,584",,"6,70,135","7,76,982","8,94,728","10,24,058"
BORON COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,35.0061884,-117.6463604,0,"18,90,204","13,39,049","5,51,155","70,147","81,908","90,955","57,942","64,115","69,809","74,523","78,259",,"90,955","55,542","58,389","59,432",,"90,955","60,342","70,485","84,159"
BORREGO SPRINGS FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,33.2614525,-116.3712571,0,"68,80,944","54,52,148","14,28,796","1,73,871","1,98,555","2,28,997","2,60,851","2,90,139","3,15,449","3,34,885","3,51,152",,"2,28,997","2,52,351","2,70,237","2,77,143",,"2,28,997","2,70,551","3,17,139","3,68,649"
BORREGO WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.2570033,-116.3709646,0,"33,27,213","24,50,024","8,77,189","1,64,482","1,83,609","2,02,141","1,68,246","1,80,967","1,94,356","2,04,846","2,13,442",,"2,02,141","1,64,616","1,75,084","1,83,779",,"2,02,141","1,73,976","1,93,587","2,19,966"
BOULDER CREEK FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,37.1257631,-122.1222176,0,"5,18,576","4,04,334","1,14,242","33,002","36,787","41,056","46,348","49,159","52,304","54,483","56,698",,"41,056","45,748","49,726","52,695",,"41,056","47,048","51,159","56,304"
BRANCIFORTE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,37.0189504,-121.9937153,0,"22,14,549","14,56,410","7,58,139","1,36,137","1,46,742","1,59,748","86,620","96,048","1,03,520","1,10,035","1,14,596",,"1,59,748","84,620","91,759","95,105",,"1,59,748","89,620","1,03,048","1,17,520"
BRANNAN-ANDRUS LEVEE MAINTENANCE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,ZERO_RESULTS,ZERO_RESULTS,0,"2,37,694","2,16,267","21,427","6,493","7,884","8,673","10,049","10,955","11,978","11,819","12,417",,"8,673","9,719","8,538","9,283",,"8,673","10,389","12,055","14,048"
BROADMOOR POLICE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.6926678,-122.4747878,0,"94,23,340","66,01,245","28,22,095","3,22,410","3,61,639","3,27,711","3,71,280","4,09,477","4,42,917","4,65,905","4,88,447",,"3,27,711","3,61,080","3,85,888","3,92,368",,"3,27,711","3,81,380","4,40,977","5,07,917"
BROOKTRAILS TOWNSHIP COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,39.4370365,-123.3848913,0,"68,08,951","48,54,767","19,54,184","2,36,096","2,68,772","1,91,608","2,19,750","2,47,783","2,69,962","2,87,009","3,02,047",,"1,91,608","2,12,583","2,29,168","2,28,775",,"1,91,608","2,27,897","2,71,303","3,19,002"
BROWNS VALLEY IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,39.230342,-121.4093619,0,"44,42,639","32,33,015","12,09,624","1,58,583","1,67,176","1,87,972","2,10,771","2,29,752","2,46,814","2,14,658","2,24,788",,"1,87,972","2,05,671","2,17,971","2,21,748",,"1,87,972","2,15,871","2,46,052","2,79,414"
BUENA PARK LIBRARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,LIBRARY DISTRICT,33.8460883,-118.0084448,0,"82,40,368","61,64,343","20,76,025","1,71,425","2,05,121","2,41,555","2,76,742","3,08,988","3,37,835","3,58,685","3,76,542",,"2,41,555","2,66,642","2,83,840","2,89,120",,"2,41,555","2,87,302","3,39,648","3,99,785"
BURNEY BASIN MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,40.8920371,-121.651647,0,"9,57,417","7,69,077","1,88,340","7,678","11,286","15,272","17,584","21,777","23,963","26,131","27,284",,"15,272","16,564","19,126","3,888",,"15,272","19,614","24,847","32,113"
BURNEY FIRE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,40.882228,-121.667571,0,"12,91,071","8,78,186","4,12,885","70,429","70,373","77,629","86,306","70,083","74,744","79,239","82,670",,"77,629","84,436","66,704","70,256",,"77,629","88,256","74,433","84,674"
BURNEY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,40.8769019,-121.6615492,0,"29,40,643","21,41,483","7,99,160","73,724","83,717","96,347","1,09,055","1,21,527","1,32,020","1,38,655","1,45,212",,"96,347","1,06,025","1,12,750","1,14,001",,"96,347","1,13,075","1,31,627","1,53,220"
BUTTE COUNTY AIR QUALITY MANAGEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,,39.7046767,-121.7913511,BUTTE COUNTY,"52,50,386","39,36,477","13,13,909","1,50,898","1,79,963","1,71,551","1,98,897","2,18,894","2,37,980","2,52,160","2,64,435",,"1,71,551","1,91,877","2,05,507","2,10,543",,"1,71,551","2,04,997","2,38,946","2,78,031"
BUTTE COUNTY ASSOCIATION OF GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,39.7048051,-121.8203702,BUTTE COUNTY,"35,27,189","27,05,865","8,21,324","1,33,800","1,25,416","1,43,495","1,66,090","1,80,773","1,95,178","2,05,610","2,15,129",,"1,43,495","1,62,030","1,73,529","1,80,713",,"1,43,495","1,70,190","1,94,953","2,22,568"
BUTTE COUNTY FAIR ASSOCIATION,,,39.3659668,-121.6848503,BUTTE COUNTY,"9,91,218","7,16,691","2,74,527","22,878","28,953","32,754","36,991","40,608","44,237","44,799","46,365",,"32,754","35,891","35,859","36,004",,"32,754","38,091","43,908","50,837"
BUTTE COUNTY IN-HOME SUPPORTIVE SERVICES PUBLIC AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,39.5217991,-121.5533235,BUTTE COUNTY,"8,54,049","6,41,407","2,12,642","21,707","25,729","29,571","34,401","37,794","40,402","42,995","45,595",,"29,571","33,381","36,184","36,158",,"29,571","35,431","40,874","47,552"
BUTTE COUNTY MOSQUITO AND VECTOR CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,39.4933469,-121.6095459,BUTTE COUNTY,"1,07,75,665","75,18,595","32,57,070","2,70,691","3,07,999","3,56,955","4,02,775","4,46,175","4,84,522","5,12,130","5,36,853",,"3,56,955","3,91,735","4,16,640","4,25,319",,"3,56,955","4,15,815","4,83,285","5,59,742"
BUTTE LOCAL AGENCY FORMATION COMMISSION,SPECIAL DISTRICT/AUTHORITY,,39.513158,-121.553431,0,"7,58,544","6,11,063","1,47,481","41,195","45,924","51,284","59,141","59,465","62,829","66,234","68,681",,"51,284","58,141","58,991","52,466",,"51,284","60,141","62,465","68,829"
BUTTE SCHOOLS SELF-FUNDED PROGRAMS,,,39.51259,-121.556534,0,"11,13,720","8,26,351","2,87,369","34,925","41,495","38,713","44,547","48,017","52,708","55,419","58,152",,"38,713","43,007","45,163","46,236",,"38,713","47,247","52,597","61,268"
BUTTE-GLENN COMMUNITY COLLEGE DISTRICT,COMMUNITY COLLEGE DISTRICT,,39.5215921,-121.5534505,0,"9,69,021","6,94,629","2,74,392","75,352","73,465","80,494","88,346","94,947","1,00,595","81,293","85,042",,"80,494","87,346","93,746","99,002",,"80,494","90,346","97,947","1,06,595"
BYRON-BETHANY IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,37.8132398,-121.6024572,CONTRA COSTA COUNTY,"37,46,646","32,12,798","5,33,848","41,161","54,441","71,898","86,274","1,01,392","1,13,544","1,21,730","1,28,952",,"71,898","81,274","89,010","44,936",,"71,898","92,274","1,17,392","1,45,544"
CABRILLO COLLEGE FOUNDATION,,,36.9885993,-121.9246289,0,"15,22,251","11,98,096","3,24,155","47,183","61,565","69,639","81,013","86,691","93,517","96,892","1,00,697",,"69,639","78,653","82,309","86,582",,"69,639","82,313","93,151","1,05,067"
CACHUMA OPERATION AND MAINTENANCE BOARD,,,34.451809,-119.728696,0,"68,60,800","51,39,090","17,21,710","1,79,859","1,76,803","2,07,494","2,38,364","2,65,886","2,89,901","3,06,613","3,22,225",,"2,07,494","2,30,264","2,44,947","2,49,388",,"2,07,494","2,46,464","2,91,186","3,41,501"
CAL POLY CORPORATION,,,35.3031767,-120.6604029,0,"7,36,78,778","5,47,77,729","1,89,01,049","18,94,060","22,83,612","26,55,016","30,17,863","33,35,049","36,22,560","38,23,437","40,01,720",,"26,55,016","29,33,863","31,57,421","32,61,606",,"26,55,016","31,06,863","35,99,049","41,51,560"
"CAL POLY POMONA FOUNDATION, INC.",,,34.0562719,-117.8198468,0,"4,96,40,123","3,95,84,305","1,00,55,818","12,87,578","15,28,620","17,84,897","20,52,977","22,71,365","24,64,566","26,04,913","27,26,441",,"17,84,897","19,90,777","21,41,887","21,96,050",,"17,84,897","21,18,277","24,68,365","28,60,566"
CALAVERAS COUNCIL OF GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,38.1960298,-120.6804872,0,"5,21,930","4,28,485","93,445","31,467","36,222","40,176","45,907","49,002","51,832","53,547","55,828",,"40,176","45,197","49,439","45,008",,"40,176","46,627","51,662","55,942"
CALAVERAS COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,38.1807654,-120.6779547,CALAVERAS COUNTY,"3,59,13,087","2,60,75,442","98,37,645","10,52,464","11,91,517","13,65,888","15,47,382","16,98,997","18,35,287","19,33,872","20,23,074",,"13,65,888","15,06,082","16,09,318","16,54,647",,"13,65,888","15,90,782","18,28,897","20,96,187"
CALAVERAS PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.200331,-120.689964,0,"37,97,575","26,85,216","11,12,359","93,522","1,19,274","1,36,802","1,54,720","1,69,714","1,83,767","1,94,349","2,02,492",,"1,36,802","1,50,700","1,61,420","1,64,044",,"1,36,802","1,58,730","1,83,764","2,10,867"
CALIFORNIA ASSOCIATION FOR PARK AND RECREATION INDEMNITY,,,38.6821974,-121.3164379,0,"21,89,519","15,19,019","6,70,500","77,661","87,505","97,798","1,07,971","1,18,249","1,03,662","1,07,432","1,12,810",,"97,798","1,05,871","1,10,802","90,361",,"97,798","1,10,971","1,25,449","1,18,062"
CALIFORNIA AUTHORITY OF RACING FAIRS,SPECIAL DISTRICT/AUTHORITY,,38.5958942,-121.4473464,0,"34,06,825","27,03,355","7,03,470","63,796","79,171","95,627","1,11,470","1,24,165","1,36,909","1,44,707","1,52,558",,"95,627","1,07,020","1,14,488","1,17,357",,"95,627","1,16,970","1,38,635","1,64,369"
CALIFORNIA BEAR CREDIT UNION,,,34.0495995,-118.2468114,0,"57,00,547","46,00,749","10,99,798","1,15,228","1,34,146","1,61,202","1,87,641","2,11,342","2,31,235","2,46,024","2,58,812",,"1,61,202","1,79,541","1,92,937","1,22,898",,"1,61,202","1,94,741","2,33,642","2,77,635"
CALIFORNIA CENTRAL VALLEY FLOOD CONTROL ASSOCIATION,,,40.1998777,-122.2011075,0,"1,65,226","1,18,043","47,183","11,943","13,276","14,062","16,027","16,007","16,895","17,692","14,198",,"14,062","15,387","15,940","16,837",,"14,062","16,827","17,147","18,525"
CALIFORNIA FAIR SERVICES AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,38.5958942,-121.4473463,0,"1,66,51,005","1,22,25,150","44,25,855","4,37,317","4,95,918","5,73,264","5,58,854","6,25,201","6,83,805","7,24,522","7,61,259",,"5,73,264","5,39,774","5,76,331","5,86,113",,"5,73,264","5,79,904","6,86,501","8,06,305"
CALIFORNIA FAIRS FINANCING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,38.5958942,-121.4473463,0,"87,37,277","55,12,230","32,25,047","2,08,541","2,42,977","2,81,000","3,02,000","3,31,000","3,54,000","3,65,000","3,73,000",,"2,81,000","2,90,000","2,92,000","2,75,000",,"2,81,000","3,15,000","3,69,000","4,28,000"
CALIFORNIA FIREFIGHTER'S JOINT APPRENTICESHIP COMMITTEE,,,0,0,0,"1,29,66,870","95,74,332","33,92,538","3,81,880","4,58,472","5,14,197","4,65,693","5,14,698","5,58,895","5,90,190","6,17,589",,"5,14,197","4,50,593","4,76,473","4,83,414",,"5,14,197","4,81,793","5,63,998","6,57,595"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, CENTRAL COAST SECTION",,,ZERO_RESULTS,ZERO_RESULTS,0,"36,04,733","26,55,465","9,49,268","1,14,337","1,25,416","1,42,723","1,60,583","1,49,766","1,63,008","1,70,911","1,79,207",,"1,42,723","1,55,483","1,39,915","1,41,734",,"1,42,723","1,64,583","1,62,866","1,89,308"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, CENTRAL SECTION",,,32.7793577,-117.116584,0,"5,18,325","4,24,019","94,306","21,876","25,587","29,067","33,795","36,269","38,366","41,187","42,032",,"29,067","33,095","36,080","31,097",,"29,067","34,495","38,569","43,366"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, NORTH COAST SECTION",,,37.7775105,-121.9807517,CONTRA COSTA COUNTY,"44,81,841","31,08,573","13,73,268","1,65,371","1,86,721","2,09,328","2,32,815","2,52,480","2,70,222","2,14,414","2,25,289",,"2,09,328","2,27,775","2,40,281","2,47,505",,"2,09,328","2,37,845","2,67,580","3,01,402"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, NORTHERN SECTION",,,39.7554154,-121.846534,0,"5,73,181","4,47,091","1,26,090","14,707","17,044","19,929","23,066","25,458","27,862","29,278","30,706",,"19,929","22,366","24,106","24,931",,"19,929","24,066","27,458","31,862"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, SAC-JOAQUIN SECTION",,,38.1441467,-121.2500809,0,"27,86,235","21,57,148","6,29,087","70,458","80,850","94,963","1,09,511","1,21,296","1,32,135","1,39,029","1,45,980",,"94,963","1,05,511","1,13,701","1,17,735",,"94,963","1,12,511","1,32,296","1,53,135"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, SAN DIEGO SECTION",,,32.7793577,-117.116584,0,"32,44,557","22,80,419","9,64,138","1,48,352","1,69,358","1,11,501","1,28,176","1,40,028","1,52,039","1,61,110","1,68,243",,"1,11,501","1,23,586","1,32,456","1,36,666",,"1,11,501","1,32,776","1,52,608","1,75,599"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, SOUTHERN SECTION",,,ZERO_RESULTS,ZERO_RESULTS,0,"1,12,17,044","73,75,540","38,41,504","3,41,467","3,92,627","4,44,197","4,94,943","5,41,541","5,83,290","6,15,296","6,43,373",,"4,44,197","4,83,893","5,13,076","5,07,352",,"4,44,197","5,06,993","5,78,651","6,56,590"
"CALIFORNIA INTERSCHOLASTIC FEDERATION, STATE OFFICE",,,38.6548244,-121.5355385,0,"46,66,762","34,09,170","12,57,592","1,81,818","2,12,014","1,92,538","2,19,322","2,40,252","2,59,307","2,72,890","2,85,146",,"1,92,538","2,14,302","2,30,247","2,39,570",,"1,92,538","2,25,342","2,57,322","2,93,447"
CALIFORNIA JOINT POWERS INSURANCE AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,33.8455217,-118.0466614,0,"1,11,21,754","85,33,921","25,87,833","3,42,201","4,24,813","4,88,395","5,59,748","6,11,610","6,57,620","6,92,025","7,23,767",,"4,88,395","5,46,678","5,89,082","6,15,478",,"4,88,395","5,73,818","6,53,840","7,43,120"
CALIFORNIA JOINT POWERS RISK MANAGEMENT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,37.704306,-121.8223649,CONTRA COSTA COUNTY,"34,39,064","25,26,409","9,12,655","98,382","1,20,411","1,36,513","1,55,742","1,68,443","1,81,916","1,91,464","2,00,087",,"1,36,513","1,50,042","1,60,076","1,65,515",,"1,36,513","1,58,097","1,80,583","2,07,166"
"CALIFORNIA MARITIME ACADEMY FOUNDATION, INC.",,,38.069706,-122.2306447,0,"3,96,462","2,97,339","99,123","3,406","10,157","10,000","11,000","11,000","12,000","12,000","13,000",,"10,000","9,900","9,100","7,600",,"10,000","11,000","13,000","16,000"
CALIFORNIA MUNICIPAL UTILITIES ASSOCIATION,,,38.5785487,-121.4950812,0,"54,53,150","40,28,040","14,25,110","1,35,281","1,44,990","1,70,136","1,94,969","2,16,728","2,36,587","2,49,948","2,61,933",,"1,70,136","1,88,949","2,01,990","2,05,711",,"1,70,136","2,01,979","2,36,778","2,76,677"
CALIFORNIA PINES COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,41.4132082,-120.6793637,0,"9,32,025","7,88,674","1,43,351","31,113","44,457","48,366","54,682","59,579","63,911","64,840","67,928",,"48,366","53,582","57,188","52,504",,"48,366","56,082","63,579","71,411"
CALIFORNIA REDEVELOPMENT ASSOCIATION FOUNDATION,,,38.5773901,-121.4881947,0,"17,45,281","19,55,756","-2,10,475",0,0,0,0,0,0,0,0,,0,0,0,0,,0,"5,500","9,700","18,000"
CALIFORNIA SCHOOL BOARDS ASSOCIATION,,,38.5729127,-121.5536453,0,"3,14,58,895","2,38,27,130","76,31,765","12,56,707","9,20,418","10,71,437","12,23,717","13,55,929","14,74,747","15,59,189","16,35,275",,"10,71,437","11,86,917","12,75,459","13,08,998",,"10,71,437","12,63,717","14,74,929","17,12,747"
CALIFORNIA SPECIAL DISTRICTS ASSOCIATION,SPECIAL DISTRICT/AUTHORITY,,38.580577,-121.491192,0,"25,20,821","21,79,296","3,41,525","1,27,584","1,42,881","1,57,883","1,83,025","1,97,270","2,10,654","2,20,982","2,30,357",,"1,57,883","1,78,825","1,96,328","1,85,851",,"1,57,883","1,86,125","2,07,570","2,32,254"
CALIFORNIA STATE AND FEDERAL EMPLOYEES NO. 20 CREDIT UNION,,,40.7916483,-124.164988,0,"28,91,690","21,25,121","7,66,569","67,673","82,374","94,380","89,565","1,00,741","1,10,848","1,16,144","1,22,322",,"94,380","86,565","91,145","91,030",,"94,380","92,665","1,10,841","1,32,148"
